,Date,Heure,Prix,Consommation,Production,Export
11,2021-01-01,11,44.21928364461405,64340.68257858441,"              techno        Volume     Prix
0             eolien   1771.568453        0
1            solaire   2215.786231        0
2            fil_eau   3576.703171        0
3       cogeneration   3306.366845        0
4          nucleaire  51951.946320        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   2518.311559  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
12,2021-01-01,12,44.210448833546444,64088.51067171419,"              techno        Volume     Prix
0             eolien   1626.530063        0
1            solaire   2284.715676        0
2            fil_eau   3515.673066        0
3       cogeneration   3327.479672        0
4          nucleaire  52080.844967        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   2253.267227  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
13,2021-01-01,13,44.153946923787935,61839.33004490186,"              techno        Volume     Prix
0             eolien   1536.225618        0
1            solaire   1957.399285        0
2            fil_eau   3341.059157        0
3       cogeneration   3322.569712        0
4          nucleaire  52123.866339        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3    558.209935  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
14,2021-01-01,14,43.31077493929805,59741.42146826495,"              techno        Volume     Prix
0             eolien   1412.844545        0
1            solaire   1347.275230        0
2            fil_eau   3299.185724        0
3       cogeneration   3328.788994        0
4          nucleaire  52090.276576        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3      0.000000  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6736.949600091233
15,2021-01-01,15,43.307330302990835,58867.37062953279,"              techno        Volume     Prix
0             eolien   1352.204060        0
1            solaire    572.311331        0
2            fil_eau   3357.333851        0
3       cogeneration   3332.389631        0
4          nucleaire  52093.420445        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3      0.000000  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6840.28868930781
16,2021-01-01,16,44.16759832029138,60772.185797826205,"              techno        Volume     Prix
0             eolien   1408.381825        0
1            solaire     51.401672        0
2            fil_eau   3720.632500        0
3       cogeneration   3319.296405        0
4          nucleaire  52304.721566        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3    967.751830  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.000000000007
17,2021-01-01,17,49.914341596381036,64637.16335934931,"              techno        Volume     Prix
0             eolien   1550.532572        0
1            solaire      0.000000        0
2            fil_eau   4173.950553        0
3       cogeneration   3331.734970        0
4          nucleaire  52456.454634        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   3000.000000  44.2353
5                lac   1124.490630       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",5999.999999999993
18,2021-01-01,18,49.922236005360645,65273.19003691136,"              techno        Volume     Prix
0             eolien   1625.217499        0
1            solaire      0.000000        0
2            fil_eau   4218.366907        0
3       cogeneration   3329.770986        0
4          nucleaire  52554.080053        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   3000.000000  44.2353
5                lac   1545.754592       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
19,2021-01-01,19,44.224003783549726,62926.6853572628,"              techno        Volume     Prix
0             eolien   1658.031614        0
1            solaire      0.000000        0
2            fil_eau   3853.712033        0
3       cogeneration   3338.117918        0
4          nucleaire  52416.908065        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   2659.915727  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
20,2021-01-01,20,44.14342015627549,59991.88320807217,"              techno        Volume     Prix
0             eolien   1586.628099        0
1            solaire      0.000000        0
2            fil_eau   3566.022902        0
3       cogeneration   3339.427240        0
4          nucleaire  52257.398057        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3    242.406909  44.2353
5                lac      0.000000       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",5999.999999999993
