"month","commodite","moyenne","ecart_type"
1,"Prix_CO2",58.148625,25.307110510472
2,"Prix_CO2",59.6880882352942,26.3297550457314
3,"Prix_CO2",51.910294117647,16.4661729208238
4,"Prix_CO2",56.421,17.092411245167
5,"Prix_CO2",65.6631818181818,16.731115844814
6,"Prix_CO2",61.6643548387097,14.8221681143391
7,"Prix_CO2",63.298064516129,13.4857303866473
8,"Prix_CO2",67.6306153846154,16.6146582379953
9,"Prix_CO2",64.6387671232876,5.12023326975265
10,"Prix_CO2",59.0398376184026,2.18433049298722
11,"Prix_CO2",71.2987755102041,5.8207905507804
12,"Prix_CO2",82.0036956521739,5.73761714330015
1,"Prix_Gaz",43.8505,25.2944007362814
2,"Prix_Gaz",39.4197058823529,28.6417688923945
3,"Prix_Gaz",50.475,50.2092300338993
4,"Prix_Gaz",43.8265714285714,35.4751905913812
5,"Prix_Gaz",45.6328787878788,26.2735594358898
6,"Prix_Gaz",50.1745161290323,35.9749116440168
7,"Prix_Gaz",69.7746774193548,46.9889482198981
8,"Prix_Gaz",78.8183076923077,52.1416226663387
9,"Prix_Gaz",81.466301369863,29.4753311406735
10,"Prix_Gaz",63.0562381596752,7.28919052889341
11,"Prix_Gaz",81.4436734693878,16.0568148426503
12,"Prix_Gaz",105.239130434783,25.4013038883254
1,"Prix_Charbon",100.940875,45.8260343670163
2,"Prix_Charbon",92.9667647058824,51.4790246936215
3,"Prix_Charbon",130.899264705882,113.596758497953
4,"Prix_Charbon",128.450428571429,102.175577379612
5,"Prix_Charbon",156.250151515151,107.662424092694
6,"Prix_Charbon",153.034032258065,106.227740587662
7,"Prix_Charbon",196.519516129032,119.983513039923
8,"Prix_Charbon",197.842,111.609890945539
9,"Prix_Charbon",210.789178082192,87.0815740452822
10,"Prix_Charbon",140.621312584575,23.1971076083058
11,"Prix_Charbon",172.765306122449,49.9815312182927
12,"Prix_Charbon",145.882391304348,41.6163281088769
1,"Prix_Brent",60.883625,16.6476431025612
2,"Prix_Brent",63.1854411764706,16.2868640810164
3,"Prix_Brent",68.8541176470588,22.8540601073187
4,"Prix_Brent",67.3748571428571,20.4491064078078
5,"Prix_Brent",75.7795454545454,25.4925751743714
6,"Prix_Brent",74.8274193548387,24.1723708920447
7,"Prix_Brent",76.8687096774194,20.1700091829161
8,"Prix_Brent",71.0907692307692,17.058646113087
9,"Prix_Brent",73.3967123287671,13.7675160204893
10,"Prix_Brent",73.5662110960754,3.72485022544404
11,"Prix_Brent",81.6673469387755,9.60383425502331
12,"Prix_Brent",70.0973913043479,5.36490092474849
