"week","day","techno","ecart_type","moyenne"
1,1,"consommation",5107.13041780979,62614.3511904762
1,1,"eolien",1593.66939164861,2385.43154761905
1,1,"solaire",210.94989332591,382
1,1,"fil_eau",1331.25645228614,3925.89583333333
1,1,"lac",575.808156713212,1792.62202380952
1,1,"cogeneration",413.298493560364,3453.97321428571
1,1,"nucleaire",2101.8546534453,52725.9255952381
1,2,"consommation",6836.26022751422,68130.9791666667
1,2,"eolien",3167.94127817162,4063.11011904762
1,2,"solaire",184.175929041035,368.779761904762
1,2,"fil_eau",1203.90947121491,4937.05357142857
1,2,"lac",624.270267593683,2841.33928571429
1,2,"cogeneration",350.023715802949,3512.14880952381
1,2,"nucleaire",6120.29453441886,52151.3809523809
1,3,"consommation",8554.64555084506,70264.6423611111
1,3,"eolien",2297.71650041113,3224.49305555556
1,3,"solaire",90.9833420631827,324.552083333333
1,3,"fil_eau",1376.02400058052,4714.25
1,3,"lac",1530.27456611539,3209.61458333333
1,3,"cogeneration",318.06160206983,3737.29513888889
1,3,"nucleaire",3268.87870241811,54468.6597222222
1,4,"consommation",8784.26673544277,67782.2410714286
1,4,"eolien",2855.16754981499,3900.13988095238
1,4,"solaire",156.354168385098,388.452380952381
1,4,"fil_eau",1209.38774234329,4905.78571428571
1,4,"lac",1418.73676122241,2933.70238095238
1,4,"cogeneration",432.407749617839,3697.30357142857
1,4,"nucleaire",2579.94147263696,52617.8571428572
1,5,"consommation",6639.27640323152,67846.7708333333
1,5,"eolien",2591.97466543591,4037.45138888889
1,5,"solaire",247.357654305499,467.902777777778
1,5,"fil_eau",1363.37642144985,4887.75347222222
1,5,"lac",633.357372305116,2956.88194444444
1,5,"cogeneration",476.067235819515,3580.33333333333
1,5,"nucleaire",2862.61829146655,53617.625
1,6,"consommation",8712.1109174393,66387.6953125
1,6,"eolien",1954.08318108858,3762.46614583333
1,6,"solaire",201.082786320374,430.40625
1,6,"fil_eau",1425.93448364983,4438.83333333333
1,6,"lac",1068.56082029932,2640.13802083333
1,6,"cogeneration",450.549334831658,3536.5546875
1,6,"nucleaire",2998.90783039813,53546.65625
1,7,"consommation",5424.19706991532,62431.1755952381
1,7,"eolien",1350.86741528749,3574.25595238095
1,7,"solaire",208.191029474465,346.991071428572
1,7,"fil_eau",1396.21618758144,4503.24404761905
1,7,"lac",539.456531091862,2130.36607142857
1,7,"cogeneration",430.02768686051,3484.32142857143
1,7,"nucleaire",2891.81062995753,53013.0595238095
2,1,"consommation",6017.17653221674,62551.9427083333
2,1,"eolien",2859.3157397526,5100.09895833333
2,1,"solaire",239.93926349685,418.255208333333
2,1,"fil_eau",1464.71536962563,4219.95572916667
2,1,"lac",445.726641801126,1738.44791666667
2,1,"cogeneration",437.125273539011,3667.33072916667
2,1,"nucleaire",2200.222512138,52739.8411458333
